chr snpid bp cM male_cM female_cM
1 MARC0015795 1463092 1.196 1.138 1.254
1 WU_10.2_1_2621338 1471069 1.196 1.138 1.254
1 WU_10.2_1_2627242 1476959 1.196 1.138 1.254
1 ASGA0086709 1483384 1.196 1.138 1.254
1 ALGA0112852 1487362 1.196 1.138 1.254
1 WU_10.2_1_2667200 1516825 1.1985 1.138 1.259
1 M1GA0025062 1536652 1.1985 1.138 1.259
1 WU_10.2_1_2711786 1561289 1.2015 1.138 1.265
1 WU_10.2_1_2738577 1588023 1.213 1.161 1.265
1 ASGA0085025 1638138 1.213 1.161 1.265
1 MARC0063358 1678731 1.213 1.161 1.265
1 ASGA0085437 1684375 1.213 1.161 1.265
1 WU_10.2_1_2886072 1715003 1.213 1.161 1.265
1 H3GA0052387 1737865 1.213 1.161 1.265
1 WU_10.2_1_2931464 1760555 1.2155 1.161 1.27
1 MARC0001272 1767444 1.2155 1.161 1.27
1 ASGA0000264 1810990 1.2525 1.194 1.311
1 ALGA0000195 1826726 1.2525 1.194 1.311
1 H3GA0000220 1856385 1.2875 1.217 1.358
1 MARC0000620 1869413 1.2875 1.217 1.358
1 ASGA0000285 1896106 1.2875 1.217 1.358
1 WU_10.2_1_3091800 1920518 1.311 1.228 1.394
1 WU_10.2_1_3177789 2034526 1.3525 1.254 1.451
1 M1GA0000188 2046774 1.3525 1.254 1.451
1 M1GA0000195 2087328 1.3525 1.254 1.451
1 MARC0070292 2139822 1.579 1.619 1.539
1 MARC0072453 2160998 1.717 1.756 1.678
1 WU_10.2_1_3387184 2244176 1.717 1.756 1.678
1 ALGA0000120 2272319 1.717 1.756 1.678
1 M1GA0000233 2292374 1.7685 1.834 1.703
1 WU_10.2_1_3436923 2316325 1.9065 1.964 1.849
1 H3GA0000180 2330465 1.9995 2 1.999
1 ALGA0000131 2343464 2.1085 2.068 2.149
1 MARC0038011 2372268 2.1085 2.068 2.149
1 ALGA0000133 2399238 2.1085 2.068 2.149
1 ASGA0000170 2408345 2.1085 2.068 2.149
1 ASGA0085797 2409715 2.1085 2.068 2.149
1 WU_10.2_1_3560483 2426611 2.111 2.073 2.149
1 ASGA0000179 2443530 2.1135 2.073 2.154
1 MARC0040142 2462289 2.116 2.073 2.159
1 M1GA0000288 2519551 2.123 2.073 2.173
1 ASGA0000192 2535265 2.148 2.078 2.218
1 DIAS0002496 2551985 2.148 2.078 2.218
1 ALGA0000172 2585100 2.148 2.078 2.218
1 WU_10.2_1_3816689 2676736 2.1735 2.109 2.238
1 DIAS0001378 2719245 2.5525 2.504 2.601
1 H3GA0000310 2754517 2.5525 2.504 2.601
1 H3GA0000320 2785472 2.6095 2.569 2.65
1 WU_10.2_1_4014211 2799894 2.7745 2.835 2.714
1 ALGA0000277 2808072 2.7745 2.835 2.714
1 ASGA0000370 2843744 2.777 2.835 2.719
1 WU_10.2_1_4123643 2908964 2.8835 2.974 2.793
1 WU_10.2_1_3973612 2941468 2.9205 3.014 2.827
1 ALGA0000300 2945015 2.9205 3.014 2.827
1 ALGA0108678 2946467 2.9205 3.014 2.827
1 WU_10.2_1_4240325 3049425 2.9205 3.014 2.827
1 MARC0087450 3073574 2.9205 3.014 2.827
1 WU_10.2_1_4313782 3123235 3.0685 3.207 2.93
1 WU_10.2_1_4319514 3128715 3.0685 3.207 2.93
1 INRA0000110 3148231 3.0685 3.207 2.93
1 WU_10.2_1_4393531 3205091 3.0685 3.207 2.93
1 MARC0102958 3213862 3.0685 3.207 2.93
1 ALGA0000305 3257401 3.0685 3.207 2.93
1 WU_10.2_1_4630316 3296590 3.0685 3.207 2.93
1 WU_10.2_1_4633921 3300197 3.0685 3.207 2.93
1 WU_10.2_1_4638297 3304572 3.0685 3.207 2.93
1 M1GA0000482 3310395 3.0685 3.207 2.93
1 ASGA0000390 3331085 3.0685 3.207 2.93
1 WU_10.2_1_4690022 3356065 3.0685 3.207 2.93
1 ALGA0000312 3384527 3.0685 3.207 2.93
1 WU_10.2_1_4796796 3447335 3.0685 3.207 2.93
1 ALGA0000323 3463729 3.0685 3.207 2.93
1 WU_10.2_1_4827235 3477547 3.0705 3.211 2.93
1 ASGA0000414 3501012 3.1435 3.304 2.983
1 ALGA0000331 3523935 3.1435 3.304 2.983
1 M1GA0000495 3544535 3.1455 3.308 2.983
1 ASGA0000430 3559672 3.1455 3.308 2.983
1 ASGA0000422 3593533 3.1455 3.308 2.983
1 M1GA0000498 3639624 3.1455 3.308 2.983
1 WU_10.2_1_5081433 3690528 3.1505 3.308 2.993
1 WU_10.2_1_5052911 3718885 3.158 3.313 3.003
1 WU_10.2_1_5033855 3743405 3.2525 3.469 3.036
1 WU_10.2_1_5191257 3761009 3.3215 3.578 3.065
1 WU_10.2_1_5101531 3793806 3.3215 3.578 3.065
1 DRGA0000017 3812495 3.3215 3.578 3.065
1 ASGA0000440 3835928 3.3505 3.583 3.118
1 ALGA0000356 3876382 3.3505 3.583 3.118
1 WU_10.2_1_5327576 3893095 3.365 3.588 3.142
1 MARC0003894 3912196 3.365 3.588 3.142
1 WU_10.2_1_5369953 3935228 3.4015 3.657 3.146
1 WU_10.2_18_22299512 3945069 3.4015 3.657 3.146
1 ALGA0000368 3954380 3.4015 3.657 3.146
1 ALGA0000370 3972399 3.4015 3.657 3.146
1 WU_10.2_1_5422618 4021303 3.472 3.75 3.194
1 WU_10.2_1_5600067 4151852 3.53 3.866 3.194
1 ASGA0000452 4158245 3.53 3.866 3.194
1 M1GA0000501 4205769 3.53 3.866 3.194
1 WU_10.2_1_5780618 4217008 3.53 3.866 3.194
1 WU_10.2_1_5690690 4242302 3.5925 3.949 3.236
1 WU_10.2_1_5836697 4272698 3.908 4.381 3.435
1 MARC0007285 4391118 3.964 4.46 3.468
1 WU_10.2_1_6134135 4489670 4.02 4.511 3.529
1 ALGA0000407 4509299 4.0575 4.557 3.558
1 ASGA0000475 4538447 4.0575 4.557 3.558
1 WU_10.2_1_6224946 4581420 4.1275 4.65 3.605
1 ALGA0000427 4601793 4.1295 4.65 3.609
1 ASGA0000490 4630008 4.132 4.65 3.614
1 H3GA0000401 4654738 4.132 4.65 3.614
1 ALGA0000431 4675880 4.2955 4.784 3.807
1 ALGA0000436 4699533 4.402 4.936 3.868
1 ALGA0000441 4758229 4.402 4.936 3.868
1 WU_10.2_1_6419473 4777237 4.4045 4.936 3.873
1 MARC0023660 4792385 4.4045 4.936 3.873
1 WU_10.2_1_6447966 4805474 4.4045 4.936 3.873
1 ALGA0000442 4824158 4.4045 4.936 3.873
1 WU_10.2_1_6485823 4842912 4.4045 4.936 3.873
1 INRA0000229 4864583 4.4045 4.936 3.873
1 MARC0028762 4887243 4.4045 4.936 3.873
1 MARC0095028 4924839 4.4305 4.983 3.878
1 ALGA0000458 4937587 4.4835 5.052 3.915
1 WU_10.2_1_6605912 4964167 4.539 5.084 3.994
1 WU_10.2_1_6668278 5194780 4.6395 5.252 4.027
1 DRGA0000041 5211943 4.6485 5.27 4.027
1 ASGA0000554 5232058 4.736 5.432 4.04
1 WU_10.2_1_6725805 5252209 4.7555 5.471 4.04
1 ALGA0000501 5317995 4.8535 5.622 4.085
1 H3GA0000459 5334437 4.9055 5.704 4.107
1 MARC0016720 5354392 4.9055 5.704 4.107
1 WU_10.2_1_6875093 5405268 4.923 5.73 4.116
1 ALGA0115616 5434442 4.923 5.73 4.116
1 WU_10.2_1_6961837 5443291 4.923 5.73 4.116
1 WU_10.2_1_6919079 5453305 4.923 5.73 4.116
1 MARC0021584 5548253 4.942 5.755 4.129
1 ASGA0104958 5565075 4.9465 5.755 4.138
1 ALGA0119138 5567485 4.993 5.822 4.164
1 WU_10.2_1_7122813 5594127 5.0695 5.901 4.238
1 WU_10.2_1_7040060 5625677 5.0715 5.905 4.238
1 WU_10.2_1_7066680 5652125 5.0715 5.905 4.238
1 WU_10.2_1_7095640 5681197 5.0715 5.905 4.238
1 MARC0027411 5691907 5.0735 5.905 4.242
1 H3GA0000476 5713576 5.1205 5.938 4.303
1 WU_10.2_1_7226767 5728542 5.2335 6.047 4.42
1 M1GA0000547 5744273 5.3355 6.126 4.545
1 1_7252617 5754611 5.6175 6.4 4.835
1 ASGA0000576 5917694 5.749 6.495 5.003
1 WU_10.2_1_7423990 5931434 5.812 6.574 5.05
1 WU_10.2_1_7448483 5955789 5.835 6.603 5.067
1 M1GA0000549 5994381 5.9805 6.773 5.188
1 MARC0097604 6018515 6.2025 6.955 5.45
1 INRA0000314 6038840 6.2955 7.055 5.536
1 ALGA0000538 6069393 6.4575 7.2 5.715
1 SIRI0000431 6100142 6.5995 7.328 5.871
1 SIRI0000433 6100358 6.5995 7.328 5.871
1 WU_10.2_1_7623776 6111352 6.5995 7.328 5.871
1 ASGA0095912 6125522 6.6035 7.332 5.875
1 WU_10.2_1_7717511 6166403 6.631 7.345 5.917
1 1_7692787 6202827 6.7055 7.423 5.988
1 WU_10.2_1_7676398 6204660 6.7055 7.423 5.988
1 WU_10.2_1_7659256 6221804 6.8925 7.589 6.196
1 WU_10.2_1_7765351 6241400 6.94 7.638 6.242
1 ASGA0000589 6260450 6.942 7.638 6.246
1 MARC0059741 6281513 6.946 7.642 6.25
1 ALGA0000557 6293068 6.9775 7.655 6.3
1 ASGA0000601 6315387 6.9815 7.655 6.308
1 H3GA0000512 6336162 7.033 7.679 6.387
1 H3GA0000513 6349604 7.113 7.749 6.477
1 MARC0074666 6369303 7.2815 7.867 6.696
1 H3GA0000521 6391784 7.3455 7.929 6.762
1 WU_10.2_1_7945278 6410473 7.708 8.178 7.238
1 WU_10.2_1_7966828 6435092 7.7185 8.191 7.246
1 H3GA0000529 6451336 7.747 8.211 7.283
1 ASGA0000636 6472959 7.749 8.211 7.287
1 WU_10.2_1_8025743 6495295 7.757 8.219 7.295
1 ASGA0000640 6511328 7.759 8.219 7.299
1 ALGA0000593 6532769 7.8035 8.28 7.327
1 WU_10.2_1_8086957 6556136 7.899 8.341 7.457
1 MARC0015128 6575274 8.0335 8.455 7.612
1 M1GA0000567 6591689 8.245 8.569 7.921
1 WU_10.2_1_8143172 6613585 8.2595 8.586 7.933
1 ALGA0000601 6633776 8.4725 8.724 8.221
1 MARC0061528 6662020 8.655 8.907 8.403
1 ASGA0000657 6679400 8.6835 8.923 8.444
1 ASGA0000671 6702897 9.2805 9.233 9.328
1 ALGA0000623 6732845 9.3795 9.298 9.461
1 WU_10.2_1_8410340 6801744 9.3795 9.298 9.461
1 WU_10.2_1_8387436 6825249 9.3795 9.298 9.461
1 MARC0048394 6849364 9.4605 9.33 9.591
1 ALGA0000641 6864280 9.4665 9.33 9.603
1 1_8522862 6938746 9.6345 9.408 9.861
1 WU_10.2_1_8593416 6978760 9.6505 9.428 9.873
1 ASGA0000706 6992339 9.659 9.428 9.89
1 WU_10.2_1_8691900 7014234 9.7915 9.452 10.131
1 WU_10.2_1_8695688 7018017 9.7915 9.452 10.131
1 M1GA0000601 7037493 9.955 9.521 10.389
1 WU_10.2_1_8745129 7067395 10.037 9.545 10.529
1 ALGA0121161 7092461 10.235 9.602 10.868
1 ASGA0089637 7125336 10.235 9.602 10.868
1 ASGA0098909 7130736 10.235 9.602 10.868
1 ALGA0108557 7177347 10.263 9.606 10.92
1 ASGA0000723 7222464 10.513 9.736 11.29
1 MARC0077389 7245296 10.531 9.752 11.31
1 ASGA0000712 7315485 10.755 9.935 11.575
1 WU_10.2_1_9118932 7320082 10.797 9.951 11.643
1 H3GA0000581 7352295 10.849 9.963 11.735
1 WU_10.2_1_9189551 7390708 10.855 9.963 11.747
1 ALGA0000682 7402285 10.865 9.971 11.759
1 M1GA0000623 7423138 10.9735 10.048 11.899
1 WU_10.2_1_9266662 7467812 11.185 10.206 12.164
1 MARC0027776 7492224 11.2515 10.255 12.248
1 H3GA0000586 7539459 11.2515 10.255 12.248
1 M1GA0000618 7560502 11.2555 10.255 12.256
1 WU_10.2_1_9388479 7589521 11.2955 10.267 12.324
1 ALGA0000683 7615171 11.3535 10.291 12.416
1 MARC0089489 7630133 11.3535 10.291 12.416
1 WU_10.2_1_9456931 7660867 11.4725 10.381 12.564
1 MARC0005058 7689313 11.4925 10.401 12.584
1 ASGA0000751 7722553 11.575 10.478 12.672
1 H3GA0000596 7752337 11.601 10.486 12.716
1 DRGA0000058 7790813 11.733 10.559 12.907
1 ALGA0000698 7855602 11.943 10.611 13.275
1 ASGA0000746 7882995 12.249 10.855 13.643
1 WU_10.2_1_9731251 7887486 12.253 10.855 13.651
1 MARC0084646 7949224 12.433 10.903 13.963
1 WU_10.2_1_9806753 7967395 12.433 10.903 13.963
1 ALGA0000717 7985098 12.7385 11.074 14.403
1 DIAS0003564 8026909 12.7385 11.074 14.403
1 ALGA0000725 8040507 12.7385 11.074 14.403
1 ALGA0000727 8061808 12.7425 11.074 14.411
1 ASGA0000791 8092879 12.7825 11.078 14.487
1 ALGA0000732 8119410 12.7825 11.078 14.487
1 ALGA0000741 8152049 12.7825 11.078 14.487
1 MARC0070803 8177381 12.8205 11.114 14.527
1 WU_10.2_1_10051445 8218484 12.9265 11.191 14.662
1 ALGA0000749 8236852 12.9265 11.191 14.662
1 WU_10.2_1_10135756 8252288 12.9285 11.191 14.666
1 MARC0002939 8258769 12.9285 11.191 14.666
1 ASGA0000817 8287008 12.963 11.22 14.706
1 DRGA0000063 8300592 12.963 11.22 14.706
1 ALGA0000769 8320936 12.967 11.228 14.706
1 MARC0078284 8339120 12.983 11.248 14.718
1 ALGA0000778 8362294 12.995 11.26 14.73
1 M1GA0000672 8386032 13.001 11.264 14.738
1 MARC0036513 8412641 13.075 11.309 14.841
1 H3GA0000686 8487937 13.2595 11.446 15.073
1 H3GA0000689 8504144 13.2775 11.446 15.109
1 ALGA0000781 8537066 13.412 11.556 15.268
1 ASGA0000856 8554166 13.5265 11.653 15.4
1 WU_10.2_1_10375460 8573790 13.5345 11.665 15.404
1 WU_10.2_1_10520459 8627107 13.5465 11.669 15.424
1 ASGA0082737 8645594 13.5765 11.698 15.455
1 WU_10.2_1_10634889 8669156 13.5785 11.702 15.455
1 1_10673082 8685608 13.5785 11.702 15.455
1 ALGA0000795 8724875 13.5785 11.702 15.455
1 ASGA0000892 8739103 13.5785 11.702 15.455
1 1_10723065 8754643 13.5805 11.702 15.459
1 ALGA0000837 8810463 13.5805 11.702 15.459
1 WU_10.2_1_10639220 8836182 13.5805 11.702 15.459
1 H3GA0000711 8864583 13.5825 11.706 15.459
1 ASGA0000925 8896901 13.5825 11.706 15.459
1 ALGA0000848 8931065 13.5865 11.714 15.459
1 ASGA0089621 8970719 13.7495 11.876 15.623
1 SIRI0000226 8977428 13.7535 11.884 15.623
1 WU_10.2_1_10964120 8992903 13.7535 11.884 15.623
1 WU_10.2_1_11153176 9032844 13.848 12.006 15.69
1 WU_10.2_1_11158562 9038234 13.848 12.006 15.69
1 H3GA0056093 9041869 13.848 12.006 15.69
1 ALGA0120737 9044222 13.852 12.01 15.694
1 ALGA0114715 9059586 13.894 12.05 15.738
1 ASGA0090359 9060958 13.958 12.078 15.838
1 ALGA0111013 9066312 13.9745 12.091 15.858
1 WU_10.2_1_11220855 9098857 14.0785 12.196 15.961
1 ASGA0100150 9137610 14.3445 12.517 16.172
1 MARC0067098 9147844 14.3445 12.517 16.172
1 ASGA0096629 9148437 14.3445 12.517 16.172
1 ASGA0101578 9156095 14.3465 12.521 16.172
1 H3GA0056341 9160509 14.407 12.614 16.2
1 M1GA0025022 9160739 14.407 12.614 16.2
1 ALGA0111616 9161161 14.407 12.614 16.2
1 ASGA0103410 9166650 14.417 12.626 16.208
1 WU_10.2_1_11356644 9233018 14.7435 13 16.487
1 1_11407894 9284239 14.7435 13 16.487
1 1_11426075 9302282 14.7515 13.008 16.495
1 ASGA0104413 9344181 14.807 13.06 16.554
1 WU_10.2_1_11489967 9365259 14.8295 13.089 16.57
1 WU_10.2_1_11519617 9394902 14.93 13.214 16.646
1 WU_10.2_1_11536804 9412070 15.002 13.315 16.689
1 WU_10.2_1_11573566 9448833 15.1285 13.417 16.84
1 WU_10.2_1_11633139 9597483 15.4235 13.733 17.114
1 WU_10.2_1_11636900 9601235 15.465 13.773 17.157
1 WU_10.2_1_11640255 9604584 15.509 13.829 17.189
1 INRA0000573 9677339 15.8 14.118 17.482
1 ASGA0000947 9698458 15.8155 14.13 17.501
1 ALGA0106880 9725288 15.869 14.185 17.553
1 H3GA0000722 9739155 16.0645 14.383 17.746
1 ASGA0000959 9755372 16.0665 14.383 17.75
1 H3GA0000737 9768589 16.221 14.522 17.92
1 ALGA0000882 9778686 16.236 14.537 17.935
1 H3GA0000727 9810328 16.44 14.763 18.117
1 M1GA0000722 9832888 16.583 14.892 18.274
1 ALGA0005353 9956582 16.7075 15.046 18.369
1 ALGA0005347 9980141 16.733 15.089 18.377
1 WU_10.2_1_11999616 10009596 16.751 15.121 18.381
1 ALGA0000889 10036902 16.761 15.141 18.381
1 WU_10.2_1_12123129 10046930 16.761 15.141 18.381
1 ASGA0000966 10078498 16.7665 15.152 18.381
1 ASGA0000969 10112145 16.7725 15.16 18.385
1 WU_10.2_1_12081977 10121520 16.8055 15.211 18.4
1 WU_10.2_1_12255075 10155263 16.8075 15.215 18.4
1 WU_10.2_1_12203387 10206931 16.8195 15.223 18.416
1 WU_10.2_1_12192066 10218253 16.855 15.27 18.44
1 WU_10.2_1_12185178 10225141 16.855 15.27 18.44
1 H3GA0000744 10234770 16.918 15.326 18.51
1 WU_10.2_1_12347708 10262501 16.918 15.326 18.51
1 WU_10.2_1_12282603 10276201 17.0005 15.428 18.573
1 WU_10.2_1_12451621 10318690 17.1605 15.657 18.664
1 DRGA0000082 10326553 17.1605 15.657 18.664
1 ASGA0000973 10389994 17.2115 15.716 18.707
1 MARC0049090 10410748 17.215 15.723 18.707
1 WU_10.2_1_12617376 10434495 17.219 15.731 18.707
1 MARC0004771 10462399 17.219 15.731 18.707
1 ALGA0000913 10483162 17.272 15.798 18.746
1 WU_10.2_1_12711028 10529704 17.3035 15.849 18.758
1 ALGA0122196 10548553 17.3745 15.948 18.801
1 ALGA0108231 10571959 17.4115 16.022 18.801
1 ASGA0000982 10600616 17.4235 16.046 18.801
1 WU_10.2_1_12797159 10615207 17.4295 16.054 18.805
1 ALGA0000922 10646136 17.4355 16.066 18.805
1 ASGA0000986 10666648 17.449 16.089 18.809
1 ALGA0000926 10683791 17.453 16.097 18.809
1 ASGA0000992 10707677 17.461 16.113 18.809
1 DRGA0000091 10723682 17.502 16.187 18.817
1 DRGA0000093 10761811 17.52 16.211 18.829
1 WU_10.2_1_12963736 10779245 17.534 16.235 18.833
1 WU_10.2_1_12995664 10811180 17.545 16.242 18.848
1 H3GA0000774 10821259 17.571 16.286 18.856
1 WU_10.2_1_13027682 10839496 17.5745 16.293 18.856
1 CASI0010077 10880316 17.695 16.439 18.951
1 WU_10.2_1_13111948 10923369 17.703 16.455 18.951
1 H3GA0000785 10936234 17.75 16.49 19.01
1 ASGA0001011 10968552 18.002 16.715 19.289
1 ALGA0000957 11000101 18.002 16.715 19.289
1 MARC0089438 11012474 18.002 16.715 19.289
1 ALGA0000960 11039515 18.0135 16.722 19.305
1 ALGA0001032 11234275 18.0905 16.758 19.423
1 WU_10.2_1_13326529 11240896 18.0905 16.758 19.423
1 WU_10.2_1_13341450 11255818 18.1025 16.77 19.435
1 ALGA0001027 11260235 18.1025 16.77 19.435
1 ALGA0001028 11278086 18.104 16.773 19.435
1 WU_10.2_1_13435158 11283086 18.1155 16.785 19.446
1 WU_10.2_1_13397916 11320969 18.153 16.836 19.47
1 ASGA0001083 11332967 18.1705 16.863 19.478
1 WU_10.2_1_13373879 11345005 18.1765 16.867 19.486
1 M1GA0000757 11379817 18.1995 16.91 19.489
1 MARC0018001 11396506 18.247 16.942 19.552
1 WU_10.2_1_13493624 11411932 18.294 16.969 19.619
1 WU_10.2_1_13558315 11584227 18.339 17.012 19.666
1 ASGA0001071 11602546 18.339 17.012 19.666
1 ASGA0001065 11618703 18.339 17.012 19.666
1 ALGA0001007 11634073 18.339 17.012 19.666
1 H3GA0000815 11662820 18.339 17.012 19.666
1 ASGA0001055 11684450 18.343 17.016 19.67
1 ASGA0001052 11703832 18.347 17.016 19.678
1 WU_10.2_1_13712602 11738506 18.388 17.063 19.713
1 ALGA0000990 11750626 18.537 17.204 19.87
1 ASGA0001039 11762754 18.6325 17.344 19.921
1 H3GA0000794 11785233 18.9805 17.619 20.342
1 WU_10.2_1_13850714 11795066 19.0805 17.666 20.495
1 M1GA0000742 11809016 19.09 17.677 20.503
1 MARC0006874 11835585 19.306 17.834 20.778
1 WU_10.2_1_13788588 11857192 19.306 17.834 20.778
1 WU_10.2_1_13778283 11867084 19.316 17.842 20.79
1 WU_10.2_1_13982463 11938556 19.3475 17.85 20.845
1 1_13996200 11952293 19.3685 17.857 20.88
1 MARC0008026 11994851 19.3805 17.861 20.9
1 ALGA0001037 12054793 19.3945 17.873 20.916
1 ASGA0001086 12068335 19.3945 17.873 20.916
1 MARC0034448 12088373 19.406 17.896 20.916
1 WU_10.2_1_14145274 12101481 19.4095 17.896 20.923
1 M1GA0000759 12122844 19.4115 17.9 20.923
1 ALGA0001039 12148124 19.4115 17.9 20.923
1 WU_10.2_1_14201367 12158442 19.451 17.916 20.986
1 ASGA0001096 12170343 19.451 17.916 20.986
1 WU_10.2_1_14239333 12195820 19.465 17.936 20.994
1 MARC0016632 12209896 19.51 17.979 21.041
1 WU_10.2_1_14366332 12248410 19.637 18.025 21.249
1 MARC0099846 12269761 19.712 18.041 21.383
1 DRGA0000100 12277112 19.7195 18.045 21.394
1 WU_10.2_1_14324663 12291296 19.767 18.053 21.481
1 ASGA0001125 12318169 20.008 18.256 21.76
1 ASGA0001122 12337822 20.0375 18.268 21.807
1 WU_10.2_1_14413742 12360320 20.108 18.276 21.94
1 ALGA0001075 12374758 20.1375 18.284 21.991
1 ASGA0001117 12389746 20.206 18.311 22.101
1 WU_10.2_1_14296757 12415095 20.436 18.421 22.451
1 ALGA0102988 12496804 20.504 18.432 22.576
1 WU_10.2_1_14714579 12517775 20.5415 18.46 22.623
1 WU_10.2_1_14604975 12528431 20.5985 18.468 22.729
1 MARC0037754 12546595 20.6315 18.491 22.772
1 WU_10.2_1_14700087 12571779 20.6435 18.495 22.792
1 ALGA0111979 12591535 20.6435 18.495 22.792
1 1_14638936 12612551 20.647 18.495 22.799
1 MARC0065727 12629436 20.694 18.542 22.846
1 ASGA0089650 12648838 20.7275 18.565 22.89
1 WU_10.2_1_14811971 12694912 20.802 18.597 23.007
1 ALGA0112050 12707679 20.941 18.694 23.188
1 WU_10.2_1_14859615 12742491 21.1015 18.835 23.368
1 WU_10.2_1_14946807 12779800 21.1075 18.835 23.38
1 WU_10.2_1_15024819 12859418 21.1425 18.874 23.411
1 WU_10.2_1_15028374 12862963 21.1445 18.874 23.415
1 WU_10.2_1_15035735 12870888 21.2815 18.999 23.564
1 WU_10.2_1_15099052 12894110 21.313 19.031 23.595
1 WU_10.2_1_15111641 12914529 21.3305 19.046 23.615
1 ALGA0001096 12948288 21.3345 19.046 23.623
1 WU_10.2_1_15131094 12966681 21.3365 19.05 23.623
1 WU_10.2_1_15228171 12968804 21.372 19.07 23.674
1 DRGA0000110 12971916 21.458 19.144 23.772
1 WU_10.2_1_15253001 12993530 21.5265 19.156 23.897
1 ALGA0001112 12997223 21.5265 19.156 23.897
1 DRGA0000109 12998814 21.5285 19.156 23.901
1 WU_10.2_1_15276032 13023172 21.5305 19.156 23.905
1 H3GA0000845 13051624 21.6165 19.183 24.05
1 WU_10.2_1_15322111 13065097 21.6325 19.191 24.074
1 DRGA0000114 13079664 21.7475 19.304 24.191
1 WU_10.2_1_15349556 13092535 21.8555 19.43 24.281
1 ALGA0001119 13108381 21.9185 19.473 24.364
1 ASGA0001154 13150889 22.124 19.649 24.599
1 ASGA0001155 13163823 22.171 19.7 24.642
1 WU_10.2_1_15441648 13185181 22.173 19.7 24.646
1 WU_10.2_1_15465169 13208345 22.4945 19.997 24.992
1 ALGA0001129 13248833 22.5005 20.001 25
1 WU_10.2_1_15519019 13261678 22.5045 20.005 25.004
1 H3GA0000848 13299662 22.6735 20.127 25.22
1 WU_10.2_1_15575902 13325323 22.6965 20.138 25.255
1 H3GA0000849 13349937 22.7045 20.146 25.263
1 INRA0000796 13370639 22.9495 20.432 25.467
1 WU_10.2_1_15644154 13394041 22.971 20.452 25.49
1 WU_10.2_1_15696330 13446206 23.1685 20.604 25.733
1 ALGA0001145 13465641 23.1785 20.624 25.733
1 ASGA0001168 13481668 23.2435 20.675 25.812
1 WU_10.2_1_15746970 13496889 23.3255 20.804 25.847
1 WU_10.2_1_15812314 13531870 23.606 21.051 26.161
1 MARC0059733 13551055 23.6175 21.051 26.184
1 WU_10.2_1_15775179 13568880 23.6705 21.074 26.267
