chr snpid bp cM male_cM female_cM
1 WU_10.2_1_2621338 1471069 0.9685 0.759 1.178
1 WU_10.2_1_2627242 1476959 0.9685 0.759 1.178
1 ASGA0086709 1483384 0.9685 0.759 1.178
1 ALGA0112852 1487362 0.9685 0.759 1.178
1 WU_10.2_1_2667200 1516825 0.9685 0.759 1.178
1 M1GA0025062 1536652 0.99 0.791 1.189
1 WU_10.2_1_2711786 1561289 1.001 0.813 1.189
1 WU_10.2_1_2738577 1588023 1.001 0.813 1.189
1 ASGA0085025 1638138 1.001 0.813 1.189
1 1_2812415 1661658 1.001 0.813 1.189
1 MARC0063358 1678731 1.006 0.813 1.199
1 ASGA0085437 1684375 1.0115 0.813 1.21
1 WU_10.2_1_2886072 1715003 1.049 0.824 1.274
1 H3GA0052387 1737865 1.06 0.846 1.274
1 WU_10.2_1_2931464 1760555 1.06 0.846 1.274
1 MARC0001272 1767444 1.06 0.846 1.274
1 ASGA0000264 1810990 1.071 0.868 1.274
1 ALGA0000195 1826726 1.076 0.878 1.274
1 H3GA0000220 1856385 1.108 0.921 1.295
1 MARC0000620 1869413 1.1135 0.932 1.295
1 ASGA0000285 1896106 1.1135 0.932 1.295
1 WU_10.2_1_3091800 1920518 1.145 0.953 1.337
1 WU_10.2_1_3177789 2034526 1.177 0.996 1.358
1 M1GA0000188 2046774 1.188 1.007 1.369
1 M1GA0000195 2087328 1.321 1.104 1.538
1 MARC0070292 2139822 1.3715 1.154 1.589
1 MARC0072453 2160998 1.4905 1.293 1.688
1 MARC0076699 2216203 1.5005 1.303 1.698
1 WU_10.2_1_3387184 2244176 1.515 1.312 1.718
1 ALGA0000120 2272319 1.5345 1.312 1.757
1 M1GA0000233 2292374 1.5695 1.342 1.797
1 WU_10.2_1_3436923 2316325 1.5695 1.342 1.797
1 H3GA0000180 2330465 1.5985 1.342 1.855
1 ALGA0000131 2343464 1.66 1.398 1.922
1 MARC0038011 2372268 1.66 1.398 1.922
1 ALGA0000134 2383908 1.66 1.398 1.922
1 ALGA0000133 2399238 1.688 1.426 1.95
1 ASGA0000170 2408345 1.688 1.426 1.95
1 ASGA0085797 2409715 1.688 1.426 1.95
1 WU_10.2_1_3560483 2426611 1.693 1.426 1.96
1 ASGA0000179 2443530 1.7075 1.426 1.989
1 MARC0040142 2462289 1.7075 1.426 1.989
1 M1GA0000288 2519551 1.76 1.464 2.056
1 ASGA0000192 2535265 1.817 1.502 2.132
1 DIAS0002496 2551985 1.8595 1.558 2.161
1 ALGA0000172 2585100 1.902 1.567 2.237
1 WU_10.2_1_3816689 2676736 1.902 1.567 2.237
1 DIAS0001378 2719245 2.034 1.642 2.426
1 H3GA0000310 2754517 2.034 1.642 2.426
1 H3GA0000320 2785472 2.123 1.763 2.483
1 WU_10.2_1_4014211 2799894 2.1275 1.772 2.483
1 ALGA0000277 2808072 2.137 1.791 2.483
1 ASGA0000370 2843744 2.1415 1.791 2.492
1 WU_10.2_1_4123643 2908964 2.202 1.865 2.539
1 WU_10.2_1_3973612 2941468 2.225 1.892 2.558
1 ALGA0000300 2945015 2.225 1.892 2.558
1 ALGA0108678 2946467 2.225 1.892 2.558
1 WU_10.2_1_4177383 2973247 2.225 1.892 2.558
1 WU_10.2_1_4191867 2987723 2.225 1.892 2.558
1 MARC0083899 3032017 2.23 1.902 2.558
1 WU_10.2_1_4240325 3049425 2.253 1.911 2.595
1 MARC0087450 3073574 2.253 1.911 2.595
1 WU_10.2_1_4313782 3123235 2.2765 1.92 2.633
1 WU_10.2_1_4319514 3128715 2.341 2.003 2.679
1 INRA0000110 3148231 2.341 2.003 2.679
1 WU_10.2_1_4393531 3205091 2.3455 2.012 2.679
1 MARC0102958 3213862 2.3455 2.012 2.679
1 ALGA0000305 3257401 2.3595 2.021 2.698
1 WU_10.2_1_4621444 3287812 2.383 2.021 2.745
1 WU_10.2_1_4630316 3296590 2.3875 2.021 2.754
1 WU_10.2_1_4633921 3300197 2.3875 2.021 2.754
1 WU_10.2_1_4638297 3304572 2.3875 2.021 2.754
1 M1GA0000482 3310395 2.392 2.03 2.754
1 ASGA0000390 3331085 2.392 2.03 2.754
1 WU_10.2_1_4690022 3356065 2.4015 2.04 2.763
1 ALGA0000312 3384527 2.4065 2.04 2.773
1 WU_10.2_1_4796796 3447335 2.411 2.04 2.782
1 ALGA0000323 3463729 2.429 2.076 2.782
1 WU_10.2_1_4827235 3477547 2.4475 2.104 2.791
1 ASGA0000414 3501012 2.517 2.15 2.884
1 ALGA0000331 3523935 2.517 2.15 2.884
1 M1GA0000495 3544535 2.517 2.15 2.884
1 ASGA0000430 3559672 2.517 2.15 2.884
1 ASGA0000422 3593533 2.5215 2.159 2.884
1 M1GA0000498 3639624 2.5215 2.159 2.884
1 WU_10.2_1_5081433 3690528 2.5495 2.187 2.912
1 WU_10.2_1_5052911 3718885 2.568 2.205 2.931
1 WU_10.2_1_5033855 3743405 2.628 2.297 2.959
1 WU_10.2_1_5191257 3761009 2.6925 2.398 2.987
1 WU_10.2_1_5101531 3793806 2.697 2.398 2.996
1 DRGA0000017 3812495 2.711 2.417 3.005
1 ASGA0000440 3835928 2.7295 2.435 3.024
1 ALGA0000356 3876382 2.757 2.472 3.042
1 WU_10.2_1_5327576 3893095 2.7935 2.536 3.051
1 MARC0003894 3912196 2.845 2.564 3.126
1 WU_10.2_1_5369953 3935228 2.863 2.591 3.135
1 WU_10.2_18_22299512 3945069 3.0755 2.812 3.339
1 ALGA0000368 3954380 3.089 2.83 3.348
1 ALGA0000370 3972399 3.089 2.83 3.348
1 WU_10.2_1_5422618 4021303 3.117 2.876 3.358
1 WU_10.2_1_5600067 4151852 3.168 2.895 3.441
1 ASGA0000452 4158245 3.168 2.895 3.441
1 ASGA0000453 4185150 3.168 2.895 3.441
1 M1GA0000501 4205769 3.1725 2.895 3.45
1 WU_10.2_1_5780618 4217008 3.182 2.895 3.469
1 WU_10.2_1_5690690 4242302 3.2185 2.959 3.478
1 INRA0000194 4259401 3.2275 2.968 3.487
1 WU_10.2_1_5836697 4272698 3.2275 2.968 3.487
1 ALGA0000386 4283617 3.2365 2.986 3.487
1 WU_10.2_1_5883846 4284552 3.2365 2.986 3.487
1 WU_10.2_1_5893403 4329961 3.2415 2.996 3.487
1 ALGA0000388 4365512 3.2555 3.014 3.497
1 MARC0007285 4391118 3.2645 3.014 3.515
1 WU_10.2_1_6054920 4409982 3.2645 3.014 3.515
1 ALGA0000397 4467696 3.3155 3.06 3.571
1 WU_10.2_1_6134135 4489670 3.4215 3.198 3.645
1 ALGA0000407 4509299 3.435 3.207 3.663
1 ASGA0000475 4538447 3.435 3.207 3.663
1 WU_10.2_1_6224946 4581420 3.449 3.207 3.691
1 ALGA0000427 4601793 3.4535 3.216 3.691
1 ASGA0000490 4630008 3.4535 3.216 3.691
1 H3GA0000401 4654738 3.476 3.234 3.718
1 ALGA0000431 4675880 3.5725 3.262 3.883
1 ALGA0000436 4699533 3.646 3.344 3.948
1 ALGA0000441 4758229 3.646 3.344 3.948
1 WU_10.2_1_6419473 4777237 3.6505 3.353 3.948
1 MARC0023660 4792385 3.6505 3.353 3.948
1 WU_10.2_1_6447966 4805474 3.6505 3.353 3.948
1 ALGA0000442 4824158 3.6505 3.353 3.948
1 WU_10.2_1_6485823 4842912 3.6505 3.353 3.948
1 INRA0000229 4864583 3.7415 3.444 4.039
1 MARC0028762 4887243 3.751 3.463 4.039
1 MARC0095028 4924839 3.806 3.545 4.067
1 ALGA0000458 4937587 3.874 3.636 4.112
1 WU_10.2_1_6605912 4964167 4.03 3.773 4.287
1 WU_10.2_1_6668278 5194780 4.1575 3.946 4.369
1 DRGA0000041 5211943 4.176 3.983 4.369
1 ASGA0000554 5232058 4.194 4.019 4.369
1 WU_10.2_1_6725805 5252209 4.1985 4.028 4.369
1 ALGA0000501 5317995 4.2165 4.064 4.369
1 H3GA0000459 5334437 4.2165 4.064 4.369
1 MARC0016720 5354392 4.2215 4.074 4.369
1 WU_10.2_1_6875093 5405268 4.317 4.128 4.506
1 ALGA0115616 5434442 4.3215 4.137 4.506
1 WU_10.2_1_6961837 5443291 4.3215 4.137 4.506
1 WU_10.2_1_6919079 5453305 4.3215 4.137 4.506
1 MARC0021584 5548253 4.335 4.155 4.515
1 ASGA0104958 5565075 4.335 4.155 4.515
1 ALGA0119138 5567485 4.335 4.155 4.515
1 WU_10.2_1_7122813 5594127 4.358 4.192 4.524
1 WU_10.2_1_7040060 5625677 4.3625 4.201 4.524
1 WU_10.2_1_7066680 5652125 4.3625 4.201 4.524
1 WU_10.2_1_7095640 5681197 4.367 4.201 4.533
1 MARC0027411 5691907 4.376 4.21 4.542
1 H3GA0000476 5713576 4.435 4.273 4.597
1 WU_10.2_1_7226767 5728542 4.4755 4.291 4.66
1 M1GA0000547 5744273 4.6615 4.436 4.887
1 1_7252617 5754611 5.0425 4.834 5.251
1 MARC0034880 5770456 5.1705 4.914 5.427
1 ASGA0000576 5917694 5.25 4.958 5.542
1 WU_10.2_1_7423990 5931434 5.2675 4.984 5.551
1 WU_10.2_1_7448483 5955789 5.3115 5.019 5.604
1 M1GA0000549 5994381 5.47 5.116 5.824
1 MARC0097604 6018515 5.5005 5.133 5.868
1 INRA0000314 6038840 5.5495 5.151 5.948
1 ALGA0000538 6069393 5.6415 5.203 6.08
1 SIRI0000431 6100142 5.6505 5.212 6.089
1 SIRI0000433 6100358 5.6635 5.212 6.115
1 WU_10.2_1_7623776 6111352 5.6635 5.212 6.115
1 ASGA0095912 6125522 5.826 5.396 6.256
1 WU_10.2_1_7717511 6166403 5.9185 5.493 6.344
1 1_7692787 6202827 6.019 5.633 6.405
1 WU_10.2_1_7676398 6204660 6.019 5.633 6.405
1 WU_10.2_1_7659256 6221804 6.028 5.642 6.414
1 WU_10.2_1_7765351 6241400 6.0405 5.659 6.422
1 ASGA0000589 6260450 6.0405 5.659 6.422
1 MARC0059741 6281513 6.0405 5.659 6.422
1 ALGA0000557 6293068 6.106 5.712 6.5
1 ASGA0000601 6315387 6.106 5.712 6.5
1 H3GA0000512 6336162 6.106 5.712 6.5
1 H3GA0000513 6349604 6.119 5.712 6.526
1 MARC0074666 6369303 6.154 5.738 6.57
1 H3GA0000521 6391784 6.1585 5.738 6.579
1 WU_10.2_1_7945278 6410473 6.3675 5.913 6.822
1 ASGA0000625 6423032 6.3765 5.922 6.831
1 WU_10.2_1_7966828 6435092 6.3805 5.93 6.831
1 H3GA0000529 6451336 6.441 5.939 6.943
1 ASGA0000636 6472959 6.476 5.965 6.987
1 WU_10.2_1_8025743 6495295 6.545 6.052 7.038
1 ASGA0000640 6511328 6.5495 6.052 7.047
1 ALGA0000593 6532769 6.597 6.078 7.116
1 WU_10.2_1_8086957 6556136 6.7005 6.113 7.288
1 MARC0015128 6575274 6.774 6.122 7.426
1 M1GA0000567 6591689 6.9075 6.217 7.598
1 WU_10.2_1_8143172 6613585 6.9725 6.261 7.684
1 ALGA0000601 6633776 7.205 6.33 8.08
1 MARC0061528 6662020 7.5285 6.495 8.562
1 ASGA0000657 6679400 7.6655 6.564 8.767
1 ASGA0000671 6702897 7.841 6.735 8.947
1 ALGA0000623 6732845 7.9135 6.76 9.067
1 WU_10.2_1_8410340 6801744 7.9305 6.769 9.092
1 WU_10.2_1_8387436 6825249 8.0195 6.794 9.245
1 MARC0048394 6849364 8.203 6.905 9.501
1 ALGA0000641 6864280 8.2325 6.913 9.552
1 1_8522862 6938746 8.3045 7.015 9.594
1 WU_10.2_1_8543727 6957985 8.3045 7.015 9.594
1 WU_10.2_1_8593416 6978760 8.309 7.015 9.603
1 WU_10.2_1_8691900 7014234 8.326 7.024 9.628
1 WU_10.2_1_8695688 7018017 8.3985 7.075 9.722
1 M1GA0000601 7037493 8.5385 7.1 9.977
1 WU_10.2_1_8745129 7067395 8.5515 7.1 10.003
1 ALGA0121161 7092461 8.628 7.126 10.13
1 ASGA0089637 7125336 8.9345 7.27 10.599
1 ASGA0098909 7130736 8.9345 7.27 10.599
1 ALGA0108557 7177347 8.9475 7.27 10.625
1 ASGA0000723 7222464 9.058 7.304 10.812
1 MARC0077389 7245296 9.126 7.338 10.914
1 ASGA0000712 7315485 9.2655 7.448 11.083
1 WU_10.2_1_9118932 7320082 9.329 7.533 11.125
1 H3GA0000581 7352295 9.4685 7.651 11.286
1 WU_10.2_1_9189551 7390708 9.477 7.651 11.303
1 ALGA0000682 7402285 9.5275 7.685 11.37
1 M1GA0000623 7423138 9.5275 7.685 11.37
1 WU_10.2_1_9266662 7467812 9.587 7.753 11.421
1 MARC0027776 7492224 9.608 7.778 11.438
1 H3GA0000586 7539459 9.7345 7.88 11.589
1 M1GA0000618 7560502 9.794 7.923 11.665
1 WU_10.2_1_9388479 7589521 9.815 7.931 11.699
1 ALGA0000683 7615171 9.832 7.948 11.716
1 MARC0089489 7630133 9.933 8.041 11.825
1 WU_10.2_1_9456931 7660867 9.9585 8.058 11.859
1 MARC0005058 7689313 9.971 8.058 11.884
1 ASGA0000751 7722553 9.9965 8.1 11.893
1 H3GA0000596 7752337 10.047 8.134 11.96
1 DRGA0000058 7790813 10.178 8.202 12.154
1 ALGA0000696 7827388 10.3345 8.304 12.365
1 ALGA0000698 7855602 10.364 8.321 12.407
1 ASGA0000746 7882995 10.4565 8.372 12.541
1 WU_10.2_1_9731251 7887486 10.465 8.38 12.55
1 MARC0084646 7949224 10.718 8.507 12.929
1 WU_10.2_1_9806753 7967395 10.777 8.524 13.03
1 ALGA0000717 7985098 10.929 8.66 13.198
1 DIAS0003564 8026909 10.9335 8.66 13.207
1 ALGA0000725 8040507 10.95 8.668 13.232
1 ALGA0000727 8061808 11.017 8.685 13.349
1 ASGA0000791 8092879 11.1685 8.761 13.576
1 ALGA0000732 8119410 11.1725 8.761 13.584
1 ALGA0000741 8152049 11.253 8.787 13.719
1 MARC0070803 8177381 11.3325 8.854 13.811
1 WU_10.2_1_10051445 8218484 11.467 8.931 14.003
1 ALGA0000749 8236852 11.4715 8.931 14.012
1 WU_10.2_1_10135756 8252288 11.4795 8.939 14.02
1 MARC0002939 8258769 11.484 8.948 14.02
1 ASGA0000817 8287008 11.5135 8.973 14.054
1 DRGA0000063 8300592 11.5135 8.973 14.054
1 ALGA0000769 8320936 11.5215 8.973 14.07
1 ALGA0000778 8362294 11.547 8.99 14.104
1 M1GA0000672 8386032 11.555 8.998 14.112
1 H3GA0000686 8487937 11.6645 9.1 14.229
1 H3GA0000689 8504144 11.6895 9.108 14.271
1 ALGA0000781 8537066 11.879 9.227 14.531
1 ASGA0000856 8554166 11.976 9.295 14.657
1 WU_10.2_1_10375460 8573790 11.976 9.295 14.657
1 WU_10.2_1_10520459 8627107 11.976 9.295 14.657
1 ASGA0082737 8645594 12.026 9.354 14.698
1 WU_10.2_1_10634889 8669156 12.026 9.354 14.698
1 1_10673082 8685608 12.026 9.354 14.698
1 ALGA0000795 8724875 12.026 9.354 14.698
1 ASGA0000892 8739103 12.026 9.354 14.698
1 ALGA0000837 8810463 12.026 9.354 14.698
1 WU_10.2_1_10639220 8836182 12.026 9.354 14.698
1 H3GA0000711 8864583 12.026 9.354 14.698
1 ASGA0000925 8896901 12.026 9.354 14.698
1 ALGA0000848 8931065 12.0345 9.354 14.715
1 ASGA0089621 8970719 12.0975 9.388 14.807
1 SIRI0000226 8977428 12.0975 9.388 14.807
1 WU_10.2_1_10964120 8992903 12.0975 9.388 14.807
1 WU_10.2_1_11153176 9032844 12.393 9.762 15.024
1 WU_10.2_1_11158562 9038234 12.393 9.762 15.024
1 H3GA0056093 9041869 12.393 9.762 15.024
1 ALGA0120737 9044222 12.414 9.779 15.049
1 ALGA0114715 9059586 12.489 9.787 15.191
1 ASGA0090359 9060958 12.506 9.796 15.216
1 ALGA0111013 9066312 12.514 9.804 15.224
1 WU_10.2_1_11220855 9098857 12.5725 9.821 15.324
1 ASGA0100150 9137610 12.6525 9.914 15.391
1 MARC0067098 9147844 12.6525 9.914 15.391
1 ASGA0096629 9148437 12.6565 9.914 15.399
1 ASGA0101578 9156095 12.6565 9.914 15.399
1 H3GA0056341 9160509 12.6565 9.914 15.399
1 M1GA0025022 9160739 12.6565 9.914 15.399
1 ALGA0111616 9161161 12.6565 9.914 15.399
1 ASGA0103410 9166650 12.661 9.923 15.399
1 WU_10.2_1_11356644 9233018 12.8765 10.245 15.508
1 1_11407894 9284239 12.8765 10.245 15.508
1 1_11426075 9302282 12.889 10.262 15.516
1 WU_10.2_1_11489967 9365259 13.0235 10.398 15.649
1 WU_10.2_1_11519617 9394902 13.1165 10.542 15.691
1 WU_10.2_1_11536804 9412070 13.188 10.635 15.741
1 WU_10.2_1_11573566 9448833 13.2855 10.796 15.775
1 WU_10.2_1_11633139 9597483 13.5255 11.085 15.966
1 WU_10.2_1_11636900 9601235 13.643 11.186 16.1
1 WU_10.2_1_11640255 9604584 13.6555 11.203 16.108
1 INRA0000573 9677339 13.9165 11.466 16.367
1 ASGA0000947 9698458 13.9295 11.475 16.384
1 ALGA0106880 9725288 13.942 11.492 16.392
1 H3GA0000722 9739155 14.005 11.543 16.467
1 ASGA0000959 9755372 14.076 11.61 16.542
1 H3GA0000737 9768589 14.177 11.72 16.634
1 ALGA0000882 9778686 14.177 11.72 16.634
1 H3GA0000727 9810328 14.249 11.831 16.667
1 M1GA0000722 9832888 14.459 12.068 16.85
1 ALGA0005353 9956582 14.5225 12.161 16.884
1 ALGA0005347 9980141 14.539 12.161 16.917
1 WU_10.2_1_11999616 10009596 14.564 12.178 16.95
1 WU_10.2_1_12123129 10046930 14.5685 12.187 16.95
1 ASGA0000966 10078498 14.5725 12.187 16.958
1 ASGA0000969 10112145 14.5725 12.187 16.958
1 WU_10.2_1_12081977 10121520 14.581 12.195 16.967
1 WU_10.2_1_12255075 10155263 14.585 12.195 16.975
1 WU_10.2_1_12203387 10206931 14.589 12.195 16.983
1 WU_10.2_1_12192066 10218253 14.776 12.535 17.017
1 WU_10.2_1_12185178 10225141 14.7885 12.56 17.017
1 H3GA0000744 10234770 14.793 12.569 17.017
1 WU_10.2_1_12347708 10262501 14.793 12.569 17.017
1 WU_10.2_1_12282603 10276201 14.793 12.569 17.017
1 WU_10.2_1_12451621 10318690 14.856 12.67 17.042
1 DRGA0000082 10326553 14.856 12.67 17.042
1 ASGA0000973 10389994 14.8605 12.679 17.042
1 MARC0049090 10410748 14.8605 12.679 17.042
1 WU_10.2_1_12617376 10434495 14.869 12.696 17.042
1 MARC0004771 10462399 14.919 12.73 17.108
1 ALGA0000913 10483162 14.9315 12.755 17.108
1 WU_10.2_1_12711028 10529704 14.9735 12.831 17.116
1 ALGA0122196 10548553 14.999 12.857 17.141
1 ALGA0108231 10571959 15.0455 12.941 17.15
1 ASGA0000982 10600616 15.095 13.024 17.166
1 WU_10.2_1_12797159 10615207 15.0995 13.024 17.175
1 ALGA0000922 10646136 15.1205 13.058 17.183
1 ASGA0000986 10666648 15.146 13.092 17.2
1 ALGA0000926 10683791 15.146 13.092 17.2
1 ASGA0000992 10707677 15.146 13.092 17.2
1 DRGA0000091 10723682 15.217 13.184 17.25
1 WU_10.2_1_12963736 10779245 15.292 13.31 17.274
1 WU_10.2_1_12995664 10811180 15.321 13.326 17.316
1 H3GA0000774 10821259 15.3295 13.343 17.316
1 WU_10.2_1_13027682 10839496 15.3375 13.351 17.324
1 CASI0010077 10880316 15.388 13.402 17.374
1 WU_10.2_1_13111948 10923369 15.5005 13.535 17.466
1 H3GA0000785 10936234 15.509 13.552 17.466
1 ASGA0001011 10968552 15.705 13.753 17.657
1 ALGA0000957 11000101 15.705 13.753 17.657
1 MARC0089438 11012474 15.7385 13.795 17.682
1 ALGA0000960 11039515 15.7465 13.803 17.69
1 ALGA0001032 11234275 15.959 13.92 17.998
1 WU_10.2_1_13326529 11240896 15.9755 13.936 18.015
1 WU_10.2_1_13341450 11255818 16.0255 14.011 18.04
1 ALGA0001027 11260235 16.0255 14.011 18.04
1 ALGA0001028 11278086 16.0255 14.011 18.04
1 WU_10.2_1_13435158 11283086 16.0335 14.019 18.048
1 WU_10.2_1_13397916 11320969 16.0755 14.078 18.073
1 ASGA0001083 11332967 16.129 14.177 18.081
1 WU_10.2_1_13373879 11345005 16.129 14.177 18.081
1 M1GA0000757 11379817 16.1415 14.194 18.089
1 MARC0018001 11396506 16.1415 14.194 18.089
1 WU_10.2_1_13493624 11411932 16.15 14.202 18.098
1 WU_10.2_1_13558315 11584227 16.179 14.252 18.106
1 ASGA0001071 11602546 16.179 14.252 18.106
1 ASGA0001065 11618703 16.187 14.26 18.114
1 ALGA0001007 11634073 16.187 14.26 18.114
1 H3GA0000815 11662820 16.187 14.26 18.114
1 ASGA0001055 11684450 16.2165 14.285 18.148
1 ASGA0001052 11703832 16.2205 14.285 18.156
1 WU_10.2_1_13712602 11738506 16.254 14.302 18.206
1 ASGA0001039 11762754 16.316 14.368 18.264
1 H3GA0000794 11785233 16.32 14.368 18.272
1 WU_10.2_1_13850714 11795066 16.366 14.393 18.339
1 M1GA0000742 11809016 16.4075 14.468 18.347
1 MARC0006874 11835585 16.4945 14.567 18.422
1 WU_10.2_1_13788588 11857192 16.5155 14.584 18.447
1 WU_10.2_1_13778283 11867084 16.702 14.766 18.638
1 WU_10.2_1_13982463 11938556 16.814 14.857 18.771
1 1_13996200 11952293 16.9055 14.907 18.904
1 MARC0008026 11994851 16.9715 14.94 19.003
1 WU_10.2_1_14066160 12023493 17.017 14.948 19.086
1 WU_10.2_1_14082389 12039724 17.017 14.948 19.086
1 ALGA0001037 12054793 17.017 14.948 19.086
1 ASGA0001086 12068335 17.017 14.948 19.086
1 MARC0034448 12088373 17.017 14.948 19.086
1 WU_10.2_1_14145274 12101481 17.017 14.948 19.086
1 M1GA0000759 12122844 17.0295 14.973 19.086
1 ALGA0001039 12148124 17.0295 14.973 19.086
1 WU_10.2_1_14201367 12158442 17.0335 14.981 19.086
1 ASGA0001096 12170343 17.038 14.99 19.086
1 WU_10.2_1_14239333 12195820 17.0755 14.998 19.153
1 MARC0016632 12209896 17.208 15.014 19.402
1 WU_10.2_1_14366332 12248410 17.3575 15.047 19.668
1 MARC0099846 12269761 17.4035 15.056 19.751
1 DRGA0000100 12277112 17.4035 15.056 19.751
1 WU_10.2_1_14324663 12291296 17.4155 15.064 19.767
1 ASGA0001125 12318169 17.7395 15.396 20.083
1 ASGA0001122 12337822 17.839 15.429 20.249
1 WU_10.2_1_14413742 12360320 17.8765 15.437 20.316
1 ALGA0001075 12374758 17.885 15.446 20.324
1 ASGA0001117 12389746 18.059 15.495 20.623
1 WU_10.2_1_14296757 12415095 18.1755 15.545 20.806
1 ALGA0102988 12496804 18.367 15.595 21.139
1 WU_10.2_1_14714579 12517775 18.3915 15.603 21.18
1 WU_10.2_1_14604975 12528431 18.6035 15.736 21.471
1 MARC0037754 12546595 18.7525 15.876 21.629
1 WU_10.2_1_14700087 12571779 18.7565 15.876 21.637
1 ALGA0111979 12591535 18.761 15.885 21.637
1 1_14638936 12612551 18.773 15.901 21.645
1 MARC0065727 12629436 18.8645 15.934 21.795
1 ASGA0089650 12648838 18.8935 15.934 21.853
1 WU_10.2_1_14777034 12659594 18.981 15.976 21.986
1 WU_10.2_1_14811971 12694912 19.0095 16.017 22.002
1 ALGA0112050 12707679 19.08 16.1 22.06
1 WU_10.2_1_14859615 12742491 19.196 16.199 22.193
1 WU_10.2_1_14946807 12779800 19.196 16.199 22.193
1 WU_10.2_1_15024819 12859418 19.2585 16.266 22.251
1 WU_10.2_1_15028374 12862963 19.4075 16.423 22.392
1 WU_10.2_1_15035735 12870888 19.449 16.473 22.425
1 WU_10.2_1_15099052 12894110 19.5695 16.614 22.525
1 WU_10.2_1_15111641 12914529 19.582 16.614 22.55
1 ASGA0001137 12927305 19.6065 16.63 22.583
1 ALGA0001096 12948288 19.6975 16.688 22.707
1 WU_10.2_1_15131094 12966681 19.71 16.688 22.732
1 DRGA0000110 12971916 19.7145 16.688 22.741
1 WU_10.2_1_15253001 12993530 19.793 16.746 22.84
1 ALGA0001112 12997223 19.793 16.746 22.84
1 DRGA0000109 12998814 19.793 16.746 22.84
1 WU_10.2_1_15276032 13023172 19.793 16.746 22.84
1 H3GA0000845 13051624 19.797 16.746 22.848
1 WU_10.2_1_15322111 13065097 19.8015 16.746 22.857
1 DRGA0000114 13079664 19.9175 16.787 23.048
1 WU_10.2_1_15349556 13092535 19.922 16.796 23.048
1 ALGA0001119 13108381 19.922 16.796 23.048
1 ASGA0001154 13150889 19.98 16.821 23.139
1 ASGA0001155 13163823 20.013 16.837 23.189
1 WU_10.2_1_15441648 13185181 20.1705 16.945 23.396
1 WU_10.2_1_15465169 13208345 20.2205 16.953 23.488
1 ALGA0001129 13248833 20.3945 17.052 23.737
1 WU_10.2_1_15519019 13261678 20.3945 17.052 23.737
1 M1GA0000773 13274747 20.486 17.202 23.77
